NK,Name,sex,influence,age,position,nationality,source,,,,,
VfB e.V.,VfB Stuttgart 1893 e.V.,0,N/A,N/A,N/A,N/A,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
Präsidium,Präsidium,0,N/A,N/A,N/A,N/A,,,,,,
CV,Claus Vogt (Präsident & Vorsitz Aufsichtsrat VfB AG) ,1,2,5,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/
RM,Rainer Mutschler,1,1,6,2,,,,,,,
BG,Bernd Gaiser,1,1,6,2,,,,,,,
RA,Rainer Adrion (Mitglied d. Präsidiums & Aufsichtsrat VfB AG),1,2,6,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
Beirat,Vereinsbeirat VfB Stuttgart 1893 e.V.,0,N/A,N/A,N/A,N/A,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
RW,Rainer Weninger (Vors. Vereinsbeirat),1,2,5,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
AB,Prof. Dr. André Bühler (Stv. Vereinsbeirat),1,2,4,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
HM,Prof. Dr. Hubert Mörk,1,0,6,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
Prof. CS,Prof. Christof Seeger,1,0,4,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
WE,Dr. Wolf-Dietrich Erhard,1,1,6,2,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
CM,Claudia Maintok,2,1,3,2,,,,,,,
DG,Dieter Göggel,1,1,6,2,,,,,,,
JB,James Bührer,1,1,5,2,,,,,,,
NS,Dr. Marc Nicolai Schlecht,1,2,4,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
ES,Erwin Staudt **Ehrenpräsident**,1,0,7,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-e-v-/organe-des-vfb-e-v-/,,,,,
VfB AG,VfB Stuttgart 1893 AG,0,N/A,N/A,N/A,N/A,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
Vorstand AG,Vorstand AG,0,N/A,N/A,N/A,N/A,,,,,,
TH,Thomas Hitzelsberger **Vorstandsvorsitzender**,1,1,3,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
SH,Stefan Heim,1,1,5,2,,,,,,,
JR,Jochen Röttgermann,1,1,4,2,,,,,,,
TK,Tobias Keller (Interimsvorstand),1,0,3,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
OS,Oliver Schraft (Mitglied Geschäftsleitung),1,1,5,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
Aufsichtsrat,Aufsichtsrat AG,0,N/A,N/A,N/A,N/A,,,,,,
WP,Wilfried Porth (Stv. Vorsitz Aufsichtsrat VfB AG),1,2,6,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
HJ,Hartmut Jenner,1,0,5,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
Fr,Franz Reiner,1,0,5,1,US,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
BS,Dr. Bertram Sugg,1,0,5,1,Deutschland,https://www.vfb.de/de/1893/club/vfb-ag/organe-der-vfb-ag/,,,,,
HO,Hermann Ohlicher,1,0,7,2,Deutschland,,,,,,
